gen,best,avg,valid_percent,time_elapsed_s
54,1536901.0,1742258.094792226,0.0,1
55,1536901.0,1637141.7532577813,0.0,1
56,1536901.0,1608988.2073996179,0.0,1
57,1536901.0,1665513.9498833506,0.0,1
58,1536901.0,1634807.1332611255,0.0,1
59,1536901.0,1611765.7788139607,0.0,1
60,1536901.0,1633229.3751469133,0.0,1
61,1536901.0,1643624.8834142636,0.0,1
62,1536901.0,1620238.3612752147,0.0,1
63,1536901.0,1667353.6280424343,0.0,1
64,1536901.0,1649418.9416497056,0.0,1
65,1536901.0,1704349.8782203142,0.0,1
66,1536901.0,1662532.0701300288,0.0,1
67,1536901.0,1665164.341783767,0.0,1
68,1536901.0,1646350.902153862,0.0,1
69,1536901.0,1639266.7861882104,0.0,1
70,1536901.0,1636239.192447604,0.0,1
71,1536901.0,1681261.7977383472,0.0,1
72,1536901.0,1577358.755261323,0.0,1
73,1536901.0,1616108.9176278566,0.0,1
74,1536901.0,1594271.4219113118,0.0,1
75,1536901.0,1694392.3975471475,0.0,1
76,1536901.0,1673371.4617827602,0.0,2
77,1536901.0,1640490.6570935717,0.0,2
78,1536901.0,1646416.3396074357,0.0,2
79,1536901.0,1604001.3650614622,0.0,2
80,1536901.0,1662330.0727137541,0.0,2
81,1536901.0,1637298.6832489674,0.0,2
82,1536901.0,1661426.9837134252,0.0,2
83,1536901.0,1617944.479517833,0.0,2
84,1536901.0,1642744.7678301963,0.0,2
85,1536901.0,1665206.3667067748,0.0,2
86,1536901.0,1689265.146426732,0.0,2
87,1536901.0,1602048.7328180645,0.0,2
88,1508286.0,1564328.3909166607,0.0,2
89,1508286.0,1530882.25,0.0,2
90,1508286.0,1582702.1918728296,0.0,2
91,1508286.0,1594022.187897558,0.0,2
92,1508286.0,1609181.968634839,0.0,2
93,1508286.0,1594619.2603921294,0.0,2
94,1508286.0,1573144.1563999695,0.0,2
95,1508286.0,1553338.7557062274,0.0,2
96,1508286.0,1583120.8365650815,0.0,2
97,1508286.0,1636962.5555343633,0.0,2
98,1508286.0,1599393.1303166815,0.0,2
99,1508286.0,1630410.5735474564,0.0,2
100,1508286.0,1577951.9683900385,0.0,2
101,1508286.0,1551425.6017996722,0.0,2
102,1508286.0,1622700.7868528836,0.0,2
103,1508286.0,1604674.299539131,0.0,2
104,1508286.0,1574228.6924913246,0.0,2
105,1508286.0,1687807.148232561,0.0,2
106,1508286.0,1705890.4689653437,0.0,2
107,1468430.0,1551358.5268360525,0.0,2
108,1468430.0,1515281.7825132045,0.0,2
109,1468430.0,1556376.4246595497,0.0,2
110,1460594.0,1597442.5788772115,0.0,2
111,1460594.0,1556230.2943045944,0.0,2
112,1460594.0,1556088.6346662338,0.0,2
113,1460594.0,1603056.6614745746,0.0,2
114,1460594.0,1606816.943525436,0.0,2
115,1460594.0,1570946.4855564411,0.0,3
116,1460594.0,1527380.011219335,0.0,3
117,1460594.0,1571418.6625871297,0.0,3
118,1460594.0,1563537.8946926254,0.0,3
119,1460594.0,1566744.3741629536,0.0,3
120,1460594.0,1611517.154830294,0.0,3
121,1460594.0,1578226.6548909557,0.0,3
122,1460594.0,1587665.7000150804,0.0,3
123,1460594.0,1611027.1407549423,0.0,3
124,1460594.0,1590696.2305004727,0.0,3
125,1460594.0,1632207.8372667413,0.0,3
126,1460594.0,1555725.0753606518,0.0,3
127,1460594.0,1527523.4691069338,0.0,3
128,1460594.0,1579616.7150146603,0.0,3
129,1460594.0,1561676.3802899537,0.0,3
130,1460594.0,1548221.7128673238,0.0,3
131,1460594.0,1549615.3320901198,0.0,3
132,1460594.0,1520921.1311540217,0.0,3
133,1460594.0,1535996.9255307827,0.0,3
134,1460594.0,1532147.152746825,0.0,3
135,1460594.0,1584891.9932443732,0.0,3
136,1460594.0,1577540.9509956888,0.0,3
137,1460594.0,1557386.4845666094,0.0,3
138,1460594.0,1573635.8294705546,0.0,3
139,1457659.0,1561246.658388906,0.0,3
140,1457659.0,1579822.951764577,0.0,3
141,1457659.0,1624252.6816399621,0.0,3
142,1457659.0,1549525.4408320836,0.0,3
143,1457659.0,1568149.1764315628,0.0,3
144,1457659.0,1666035.6541489945,0.0,3
145,1457659.0,1597383.1625553626,0.0,3
146,1457659.0,1639975.722616814,0.0,3
147,1457659.0,1563005.4184603284,0.0,3
148,1457659.0,1546210.705138701,0.0,3
149,1457659.0,1538336.0222043935,0.0,3
150,1457659.0,1553979.0575748566,0.0,4
151,1457659.0,1533180.4388395771,0.0,4
152,1457659.0,1563692.0952993163,0.0,4
153,1457659.0,1613244.6481819432,0.0,4
154,1457659.0,1525148.6325334748,0.0,4
155,1457659.0,1561745.961475319,0.0,4
156,1457659.0,1584646.1295067077,0.0,4
157,1457659.0,1599717.774221274,0.0,4
158,1457659.0,1573655.741921316,0.0,4
159,1457659.0,1594797.1390951395,0.0,4
160,1457659.0,1594105.0220837092,0.0,4
161,1457659.0,1569154.108232331,0.0,4
162,1457659.0,1539823.2765328267,0.0,4
163,1457659.0,1540567.7451749365,0.0,4
164,1457659.0,1636395.8366894727,0.0,4
165,1457659.0,1576579.5814302664,0.0,4
166,1457659.0,1555853.7878488982,0.0,4
167,1457659.0,1533338.1038441847,0.0,4
168,1457659.0,1570884.4731955235,0.0,4
169,1457659.0,1540528.0092060252,0.0,4
170,1457659.0,1626640.101134072,0.0,4
171,1457659.0,1573930.7447347378,0.0,4
172,1457659.0,1560861.7734968034,0.0,4
173,1457659.0,1499165.086337838,0.0,4
174,1457659.0,1608936.55338971,0.0,4
175,1457659.0,1649899.5752151164,0.0,4
176,1457659.0,1517864.7032318576,0.0,4
177,1457659.0,1531681.6765449913,0.0,4
178,1457659.0,1542393.671106136,0.0,4
179,1457659.0,1551196.0918926683,0.0,4
180,1457659.0,1587704.7054791306,0.0,4
181,1457659.0,1579051.5111709367,0.0,4
182,1457659.0,1630048.4362289102,0.0,4
183,1457659.0,1549428.8679207368,0.0,4
184,1457659.0,1564366.6321118798,0.0,4
185,1457659.0,1552689.3000974972,0.0,4
186,1457659.0,1623537.028421034,0.0,4
187,1457659.0,1562311.7879153085,0.0,4
188,1457659.0,1586136.968869801,0.0,4
189,1457659.0,1583301.874774916,0.0,4
190,1457659.0,1558957.3387702552,0.0,5
191,1457659.0,1605970.9097515934,0.0,5
192,1457659.0,1577303.1832956022,0.0,5
193,1457659.0,1565325.9743123914,0.0,5
194,1457659.0,1543355.5128288334,0.0,5
195,1457659.0,1548226.6540186775,0.0,5
196,1457659.0,1600121.7684745435,0.0,5
197,1457659.0,1624581.38023495,0.0,5
198,1457659.0,1559481.6085602436,0.0,5
199,1457659.0,1525106.974828566,0.0,5
200,1457659.0,1583082.4365826282,0.0,5
201,1457659.0,1561227.9104991825,0.0,5
202,1457659.0,1569088.9938218282,0.0,5
203,1457659.0,1539434.1717125354,0.0,5
204,1457659.0,1519327.7764111364,0.0,5
205,1457659.0,1627050.333657201,0.0,5
206,1457659.0,1575001.6253426112,0.0,5
207,1457659.0,1557347.4323834884,0.0,5
208,1457659.0,1549521.6132785466,0.0,5
209,1457659.0,1599930.5303157927,0.0,5
210,1457659.0,1590540.4866699353,0.0,5
211,1457659.0,1543234.1193758813,0.0,5
212,1457659.0,1550278.9972214717,0.0,5
213,1457659.0,1576813.6217451761,0.0,5
214,1457659.0,1585812.763315508,0.0,5
215,1457659.0,1567886.459550955,0.0,5
216,1457659.0,1538548.8584018387,0.0,5
217,1457659.0,1566571.7928926367,0.0,5
218,1457659.0,1540861.3344544454,0.0,5
219,1457659.0,1552160.5060711172,0.0,5
220,1457659.0,1586873.9072645756,0.0,5
221,1457659.0,1568838.505942367,0.0,5
222,1457659.0,1545303.2512964886,0.0,5
223,1457659.0,1590273.6660213417,0.0,5
224,1457659.0,1585715.2604372548,0.0,5
225,1457659.0,1590826.3570245514,0.0,5
226,1457659.0,1580096.4005793193,0.0,6
227,1457659.0,1527545.2145652801,0.0,6
228,1457659.0,1556131.243029436,0.0,6
229,1457659.0,1591641.6596046453,0.0,6
230,1457659.0,1599879.911251536,0.0,6
231,1457659.0,1534073.4407736226,0.0,6
232,1457659.0,1568266.9553283849,0.0,6
233,1457659.0,1524258.221338762,0.0,6
234,1457659.0,1633067.1081791348,0.0,6
235,1457659.0,1655202.9311383027,0.0,6
236,1457659.0,1571115.4904214845,0.0,6
237,1457659.0,1597417.9170943093,0.0,6
238,1457659.0,1584932.0214106613,0.0,6
239,1457659.0,1573019.5709716808,0.0,6
240,1457659.0,1584309.8840592622,0.0,6
241,1457659.0,1563665.8547800449,0.0,6
242,1457659.0,1536141.2506549424,0.0,6
243,1457659.0,1533686.8808735525,0.0,6
244,1457659.0,1581435.4472118355,0.0,6
245,1457659.0,1526239.8048600664,0.0,6
246,1457659.0,1639063.358767946,0.0,6
247,1457659.0,1548213.2320108302,0.0,6
248,1457659.0,1569929.3996281133,0.0,6
249,1457659.0,1535965.9224603,0.0,6
250,1457659.0,1573066.0165357688,0.0,6
251,1457659.0,1550946.1031893112,0.0,6
252,1457659.0,1537333.9996851624,0.0,6
253,1457659.0,1631731.8919514343,0.0,6
254,1457659.0,1623693.51508071,0.0,6
255,1457659.0,1593182.07148041,0.0,6
256,1457659.0,1561614.7736819917,0.0,6
257,1457659.0,1546286.8729531527,0.0,6
258,1457659.0,1525115.9606459402,0.0,6
259,1457659.0,1550559.3619617627,0.0,6
260,1457659.0,1545584.5719078046,0.0,6
261,1457659.0,1555460.7136944965,0.0,6
262,1457659.0,1574812.1879336473,0.0,6
263,1457659.0,1572267.0700143273,0.0,7
264,1457659.0,1571685.8905753568,0.0,7
265,1457659.0,1551974.1123817605,0.0,7
266,1457659.0,1615190.1758741278,0.0,7
267,1457659.0,1636509.431053855,0.0,7
268,1457659.0,1529578.6996532122,0.0,7
269,1457659.0,1530336.1704480918,0.0,7
270,1457659.0,1511714.4399883705,0.0,7
271,1457659.0,1580663.0386622336,0.0,7
272,1457659.0,1561037.3516978542,0.0,7
273,1457659.0,1592666.499095355,0.0,7
274,1457659.0,1547542.8648634965,0.0,7
275,1457659.0,1558194.8230361484,0.0,7
276,1457659.0,1606289.8393390393,0.0,7
277,1457659.0,1600352.356332094,0.0,7
278,1457659.0,1525184.9336916462,0.0,7
279,1457659.0,1540527.6422906246,0.0,7
280,1457659.0,1617851.7964329978,0.0,7
281,1457659.0,1623812.3072457998,0.0,7
282,1457659.0,1621556.9414248029,0.0,7
283,1457659.0,1651711.3628962643,0.0,7
284,1457659.0,1580895.3607221362,0.0,7
285,1457659.0,1556045.651493565,0.0,7
286,1457659.0,1558413.8850740418,0.0,7
287,1457659.0,1565006.4173957608,0.0,7
288,1457659.0,1587047.637127404,0.0,7
289,1457659.0,1570709.8051686743,0.0,7
290,1457659.0,1564334.0705974293,0.0,7
291,1457659.0,1538636.883202904,0.0,7
292,1457659.0,1553603.71403888,0.0,7
293,1457659.0,1492597.8191197729,0.0,7
294,1457659.0,1568501.5169168564,0.0,7
295,1457659.0,1613399.8221115423,0.0,7
296,1457659.0,1525563.6106114178,0.0,7
297,1457659.0,1521644.3666918243,0.0,7
298,1457659.0,1634610.272295404,0.0,7
299,1457659.0,1610466.026857077,0.0,7
300,1457659.0,1531725.8292868042,0.0,8
301,1457659.0,1641773.5951594058,0.0,8
302,1457659.0,1566454.0478981207,0.0,8
303,1457659.0,1537632.375077519,0.0,8
304,1457659.0,1564505.4396198553,0.0,8
305,1457659.0,1524036.4971273227,0.0,8
306,1457659.0,1533380.16547243,0.0,8
307,1457659.0,1518460.3533972432,0.0,8
308,1457659.0,1556177.88801219,0.0,8
309,1457659.0,1556639.2717087565,0.0,8
310,1457659.0,1544477.8517730546,0.0,8
311,1457659.0,1602630.4451912655,0.0,8
312,1457659.0,1519786.2549608795,0.0,8
313,1457659.0,1535096.3916387232,0.0,8
314,1457659.0,1568433.2059967073,0.0,8
315,1457659.0,1595659.5339800674,0.0,8
316,1457659.0,1588678.161763864,0.0,9
317,1457659.0,1571661.315254668,0.0,9
318,1457659.0,1518587.0791254642,0.0,9
319,1457659.0,1529939.8418357277,0.0,9
320,1457659.0,1554497.8543407375,0.0,9
321,1457659.0,1619321.2945603644,0.0,9
322,1457659.0,1591454.540547622,0.0,9
323,1457659.0,1623056.0866246042,0.0,9
324,1457659.0,1632745.3815986896,0.0,9
325,1457659.0,1606995.3869820253,0.0,9
326,1457659.0,1623650.3152314206,0.0,9
327,1457659.0,1638694.1942676974,0.0,9
328,1457659.0,1573814.9615583143,0.0,9
329,1457659.0,1552340.468954755,0.0,9
330,1457659.0,1564914.6279894307,0.0,9
331,1457659.0,1541451.523283149,0.0,9
332,1457659.0,1564611.0468937443,0.0,9
333,1457659.0,1546537.15274505,0.0,9
334,1457659.0,1578325.8835244519,0.0,9
335,1457659.0,1519232.2435008578,0.0,9
336,1457659.0,1520363.4950715336,0.0,9
337,1457659.0,1552648.4303993182,0.0,9
338,1457659.0,1502164.5,0.0,9
339,1457659.0,1512968.1898067147,0.0,10
